date,max(buy),min(buy),mean(buy),mean-std(buy),mean-2std(buy),mean-2.5std(buy),price_quantile_90(buy),price_quantile_95(buy),price_quantile_N(buy),max(sell),min(sell),mean(sell),mean+std(sell),mean+2std(sell),mean+2.5std(sell),price_quantile_90(sell),price_quantile_95(sell),price_quantile_N(sell)
20220908_1,-9.0,-14.0,-11.28342930262316,-12.246060413116613,-13.208691523610064,-13.690007078856793,-10.0,-10.0,-10.0,-11.0,-17.0,-13.940499040307104,-12.88340108418974,-11.82630312807238,-11.297754150013697,-15.0,-16.0,-16.0
20220908_2,-6.0,-14.0,-11.34517766497462,-12.431230970493033,-13.517284276011445,-14.06031092877065,-10.0,-9.0,-9.0,-10.0,-16.0,-13.796954314720812,-12.848383040465878,-11.899811766210943,-11.425526129083476,-15.0,-15.0,-15.0
20220909_0,-8.0,-15.0,-11.743029739776953,-13.039754406404306,-14.33647907303166,-14.98484140634534,-10.0,-10.0,-10.0,-11.0,-20.0,-14.571096654275092,-13.268607849732737,-11.966119045190382,-11.314874642919204,-16.0,-16.0,-16.0
20220909_1,-8.0,-15.0,-11.231927710843374,-12.502237234970089,-13.772546759096803,-14.407701521160163,-10.0,-9.0,-9.0,-10.0,-18.0,-13.87801204819277,-12.388831762090474,-10.899651475988176,-10.155061332937027,-16.0,-16.0,-16.0
20220909_2,-8.0,-13.0,-10.48356246264196,-11.523954240995536,-12.564346019349111,-13.0845419085259,-9.0,-9.0,-9.0,-10.0,-16.0,-13.132098027495518,-12.021630666102231,-10.911163304708948,-10.355929624012306,-15.0,-15.0,-15.0
20220913_1,6.0,-15.0,-11.313868613138686,-12.965071120788396,-14.616273628438108,-15.441874882262962,-10.0,-9.0,-9.0,-1.0,-22.0,-14.139370437956204,-12.812053015260846,-11.484735592565489,-10.821076881217808,-16.0,-16.0,-16.0
20220913_2,-8.0,-14.0,-11.716763005780347,-12.933948663053036,-14.151134320325722,-14.759727148962067,-10.0,-10.0,-10.0,-12.0,-17.0,-14.279624277456648,-13.327105295413364,-12.374586313370076,-11.898326822348434,-16.0,-16.0,-16.0
20220914_0,-5.0,-15.0,-11.88244392884764,-13.079101903132107,-14.275759877416572,-14.874088864558804,-10.0,-10.0,-10.0,-10.0,-18.0,-14.779582366589327,-13.468702384670571,-12.157822402751814,-11.502382411792436,-16.0,-17.0,-17.0
20220914_1,-8.0,-15.0,-12.19207579672696,-13.185227822337364,-14.178379847947769,-14.674955860752972,-11.0,-11.0,-11.0,-12.0,-17.0,-14.83634797588286,-13.874620849814704,-12.912893723746553,-12.432030160712474,-16.0,-16.0,-16.0
20220914_2,-9.0,-13.0,-10.908372827804108,-11.665914680276856,-12.423456532749606,-12.80222745898598,-10.0,-10.0,-10.0,-12.0,-15.0,-13.859399684044234,-12.96066061316128,-12.061921542278323,-11.612552006836848,-15.0,-15.0,-15.0
