date,max(buy),min(buy),mean(buy),mean-std(buy),mean-2std(buy),mean-2.5std(buy),price_quantile_90(buy),price_quantile_95(buy),price_quantile_N(buy),max(sell),min(sell),mean(sell),mean+std(sell),mean+2std(sell),mean+2.5std(sell),price_quantile_90(sell),price_quantile_95(sell),price_quantile_N(sell)
20230220_1,7.599853515625,-6.60009765625,-4.037000513683164,-4.801397817291393,-5.565795120899623,-5.947993772703738,-3.599853515625,-3.199951171875,-3.199951171875,-1.60009765625,-11.39990234375,-5.968023335892341,-5.38741820862411,-4.806813081355879,-4.516510517721763,-6.599853515625,-6.800048828125,-6.800048828125
20230220_2,6.800048828125,-6.7998046875,-4.391956014979479,-5.161051917164251,-5.930147819349023,-6.314695770441409,-3.60009765625,-3.39990234375,-3.39990234375,-3.39990234375,-11.800048828125,-6.415965459118151,-5.616389692261997,-4.816813925405842,-4.417026041977765,-7.39990234375,-7.60009765625,-7.60009765625
20230221_1,3.0,-6.800048828125,-4.27984592072573,-4.870613622230179,-5.461381323734628,-5.756765174486852,-3.60009765625,-3.39990234375,-3.39990234375,-4.39990234375,-20.60009765625,-6.181830893599581,-5.586559126719212,-4.991287359838844,-4.693651476398659,-6.800048828125,-7.0,-7.0
20230221_2,2.60009765625,-6.2001953125,-3.734583499657847,-4.23538861813083,-4.736193736603813,-4.986596295840304,-3.199951171875,-3.0,-3.0,-3.7998046875,-12.60009765625,-5.703656970177478,-5.099739774553773,-4.495822578930066,-4.193863981118213,-6.2001953125,-6.60009765625,-6.60009765625
20230222_1,0.0,-6.800048828125,-4.428441115576748,-4.880470024817114,-5.33249893405748,-5.558513388677663,-4.0,-3.7998046875,-3.7998046875,-4.199951171875,-15.400146484375,-6.212682734385771,-5.703715486777331,-5.194748239168892,-4.940264615364672,-6.7998046875,-6.800048828125,-6.800048828125
20230222_2,-1.199951171875,-7.0,-4.665399438859457,-5.1274790266000645,-5.589558614340673,-5.8205984082109765,-4.199951171875,-4.0,-4.0,-4.60009765625,-20.800048828125,-6.483522027233866,-5.805896571525297,-5.1282711158167285,-4.789458387962444,-7.0,-7.39990234375,-7.39990234375
20230223_1,1.39990234375,-7.800048828125,-4.786102696235308,-5.209498965051413,-5.632895233867518,-5.84459336827557,-4.39990234375,-4.199951171875,-4.199951171875,-3.60009765625,-14.199951171875,-6.380613416034491,-5.955088754892897,-5.529564093751303,-5.316801763180506,-6.800048828125,-7.0,-7.0
20230223_2,-1.199951171875,-7.199951171875,-4.708857333498303,-5.087097066069519,-5.465336798640734,-5.654456664926341,-4.39990234375,-4.199951171875,-4.199951171875,-4.800048828125,-11.199951171875,-6.4604217062425935,-5.991854207727852,-5.52328670921311,-5.28900295995574,-7.0,-7.199951171875,-7.199951171875
20230224_1,-2.400146484375,-8.39990234375,-5.665282627728759,-6.147480456532536,-6.629678285336313,-6.8707771997382014,-5.0,-4.800048828125,-4.800048828125,-5.199951171875,-17.60009765625,-7.319583444193009,-6.848841131681969,-6.378098819170928,-6.142727662915407,-7.800048828125,-8.0,-8.0
20230224_2,0.60009765625,-6.7998046875,-5.230799277410919,-5.621757039832692,-6.012714802254465,-6.208193683465352,-4.800048828125,-4.7998046875,-4.7998046875,-4.400146484375,-16.0,-6.838558769882021,-6.417788746245088,-5.9970187226081535,-5.786633710789687,-7.2001953125,-7.400146484375,-7.400146484375
