date,max(buy),min(buy),mean(buy),mean-std(buy),mean-2std(buy),mean-2.5std(buy),price_quantile_90(buy),price_quantile_95(buy),price_quantile_N(buy),max(sell),min(sell),mean(sell),mean+std(sell),mean+2std(sell),mean+2.5std(sell),price_quantile_90(sell),price_quantile_95(sell),price_quantile_N(sell)
20220908_1,207.0,79.0,100.6518987341772,83.90997332413133,67.16804791408546,58.79708520906253,113.3,118.15,118.15,-3.0,-676.0,-39.25316455696203,60.732116952789234,160.7173984625405,210.71003921741607,-38.0,-52.0,-52.0
20220908_2,740.0,12.0,177.76829268292684,-47.94887649317033,-273.66604566926753,-386.5246302573162,724.0,731.0,731.0,3.0,-658.0,-89.34146341463415,75.35917369806785,240.05981081076985,322.4101293671208,-318.7,-513.0,-513.0
20220909_0,1240.0,57.0,188.07523510971788,-45.3269483152425,-278.7291317402029,-395.43022345268304,381.4,431.19999999999993,431.19999999999993,-11.0,-716.0,-96.38871473354232,49.3898046977794,195.1683241291011,268.05758384476195,-188.2,-226.2,-226.2
20220909_1,118.0,27.0,68.4342105263158,48.12740122479417,27.820591923272545,17.667187272511732,90.9,92.45,92.45,3.0,-674.0,-48.078947368421055,44.653561652677965,137.386070673777,183.75232518432648,-51.0,-125.9,-125.9
20220909_2,228.0,53.0,99.5042735042735,56.56594083270593,13.627608161138356,-7.841558174645428,136.00000000000006,224.2,224.2,-25.0,-1227.0,-110.62393162393164,130.0859641117833,370.7958598474982,491.15080771535565,-108.4,-704.0,-704.0
20220913_1,1290.0,13.0,142.2520661157025,-94.10756288071651,-330.4671918771355,-448.647006375345,138.7,282.0,282.0,-19.0,-1260.0,-130.6900826446281,117.95012617489309,366.5903349944143,490.9104394041749,-261.4,-409.85,-409.85
20220913_2,268.0,39.0,92.84,33.476078705032,-25.887842589936,-55.56980323741999,167.0,263.05,263.05,-28.0,-1234.0,-112.28,118.36122648289788,349.0024529657958,464.3230662072447,-128.1,-685.1,-685.1
20220914_0,1243.0,58.0,118.33408577878104,-41.96889767821632,-202.27188113521368,-282.4233728637124,106.0,162.69999999999993,162.69999999999993,-22.0,-1317.0,-74.99548532731377,102.28493772007508,279.565360767464,368.2055722911584,-68.0,-113.9,-113.89999999999998
20220914_1,1230.0,59.0,138.46116504854368,-77.44421872226081,-293.3496024930653,-401.30229437846754,107.80000000000008,278.69999999999993,278.69999999999993,-24.0,-1304.0,-98.02184466019418,144.30312065715336,386.6280859745009,507.7905686331747,-64.0,-206.15,-206.14999999999912
20220914_2,769.0,78.0,131.38862559241707,-13.876388920490824,-159.14140343339872,-231.77391068985267,159.0,589.0,589.0,-22.0,-893.0,-103.1137440758294,102.16707717181102,307.4478984194514,410.0883090432717,-215.0,-717.5,-717.5
20220915_0,1244.0,70.0,142.92786885245903,-83.17433216800521,-309.27653318846944,-422.3276336987016,161.80000000000007,386.6000000000005,386.6000000000005,-19.0,-1319.0,-93.0622950819672,157.12429197537165,407.3108790327105,532.4041725613798,-61.59999999999999,-318.19999999999993,-318.199999999999
20220915_1,1221.0,17.0,113.19082125603865,-120.27296870517264,-353.73675866638393,-470.4686536469896,102.7,694.4499999999985,694.4499999999985,-25.0,-1301.0,-149.7463768115942,174.25547043736665,498.2573176863274,660.2582413108078,-121.0,-1254.35,-1254.35
20220915_2,671.0,66.0,96.82300884955752,30.839074092544905,-35.144860664467714,-68.13682804297402,96.0,104.5,104.5,-21.0,-871.0,-56.19469026548673,54.04951207395233,164.2937144133914,219.4158155831109,-57.5,-70.0,-69.99999999999996
20220916_0,1271.0,62.0,152.12286689419795,-88.77961420546183,-329.6820953051216,-450.1333358549515,123.40000000000003,566.1999999999904,566.1999999999904,-17.0,-1277.0,-99.71331058020478,147.81979166226995,395.35289390474463,519.119445025982,-91.59999999999997,-461.7999999999995,-461.7999999999955
20220916_1,1247.0,74.0,254.27777777777777,-139.6937778396125,-533.6653334570028,-730.6511112656979,1228.4,1233.85,1233.85,-25.0,-1252.0,-215.4583333333333,193.836418717,603.1311707673332,807.7785467924998,-1233.4,-1239.7,-1239.7
20220916_2,1212.0,37.0,162.18402777777777,-88.0457429155027,-338.2755136087832,-463.39039895542345,169.20000000000005,899.65,899.65,-11.0,-836.0,-89.89236111111111,102.12808697970578,294.1485350705227,390.1587591159312,-106.0,-718.65,-718.65
20220919_0,1347.0,47.0,164.38888888888889,-105.89738486901288,-376.1836586269146,-511.3267955058655,163.99999999999991,618.2499999999966,618.2499999999966,5.0,-1187.0,-94.12962962962963,162.00245854074336,418.13454671111634,546.2005907963028,-181.4,-609.9999999999998,-609.999999999998
20220919_1,1327.0,15.0,164.69230769230768,-137.21210401696788,-439.11651572624345,-590.0687215808812,290.0,1099.199999999997,1099.199999999997,-3.0,-1167.0,-188.4023668639053,165.05803233788427,518.5184315396739,695.2486311405687,-867.2,-1145.8,-1145.8
20220919_2,289.0,28.0,63.7037037037037,29.90887188252133,-3.8859599386610384,-20.783375849252216,92.0,103.0,103.0,-10.0,-956.0,-116.45925925925926,109.6972630467242,335.85378535270763,448.9320465056993,-661.0,-715.4,-715.3999999999996
20220920_0,1242.0,78.0,184.96932515337423,-82.99189424717295,-350.9531136477201,-484.9337233479937,251.6,896.1000000000004,896.1000000000004,-8.0,-721.0,-95.45398773006134,80.34346173998269,256.1409112100268,344.0396359450488,-183.0,-638.0,-638.0
20220920_1,1222.0,35.0,234.3846153846154,-75.7464402132209,-385.8774958110572,-540.9430236099753,844.0,1212.3,1212.3,-1.0,-719.0,-138.79807692307693,91.68066783166944,322.1594125864158,437.398784963789,-701.0,-709.65,-709.65
20220920_2,645.0,48.0,185.1075268817204,-30.21126924269916,-245.5300653671188,-353.1894634293285,633.8,637.0,637.0,-10.0,-1224.0,-238.6129032258065,201.36864362681703,641.3501904794406,861.3409639057523,-1201.8,-1207.8,-1207.8
20220921_0,1249.0,103.0,278.0238095238095,-64.94414607722086,-407.9121016782513,-579.3960794787664,859.2,1242.0,1242.0,-8.0,-1289.0,-189.5142857142857,191.47934379670275,572.4729733076912,762.9697880631854,-818.2,-1280.0,-1280.0
20220921_1,1248.0,20.0,186.34933333333333,-25.96359304998265,-238.27651943329863,-344.4329826249566,381.6,416.9,416.9,-11.0,-1288.0,-164.56,52.35582931023646,269.2716586204729,377.7295732755911,-346.6,-384.9,-384.9
20220921_2,679.0,36.0,120.65269461077844,-28.612087028682826,-177.87686866814408,-252.50925948787471,122.0,666.4,666.4,-16.0,-894.0,-65.10179640718563,71.19013136209473,207.48205913137508,275.6280230160153,-50.8,-205.4,-205.4
20220922_0,1337.0,47.0,160.91629955947135,-72.08416959661025,-305.08463875269183,-421.5848733307327,252.4,331.49999999999926,331.49999999999926,-26.0,-1191.0,-94.2511013215859,123.19020076929225,340.6315028601704,449.3521539056095,-70.19999999999999,-338.4,-338.3999999999998
20220922_1,693.0,16.0,99.9871382636656,26.16188800348975,-47.6633622566861,-84.57598738677402,127.0,132.0,132.0,-8.0,-645.0,-55.61093247588425,34.65476712954007,124.92046673496438,170.05331653767652,-62.0,-86.5,-86.49999999999996
20220922_2,652.0,86.0,137.67391304347825,11.279260389132034,-115.11539226521418,-178.31271859238728,116.3,640.0,640.0,-16.0,-1142.0,-85.6231884057971,105.80697278009774,297.2371339659926,392.95221455894,-63.3,-616.0,-616.0
20220923_0,1282.0,81.0,173.68055555555554,-48.38757137937213,-270.4556983142998,-381.4897617817636,219.0,576.5999999999926,576.5999999999926,-24.0,-1254.0,-103.375,124.83861638568536,353.0522327713707,467.15904096421343,-113.3,-552.9499999999995,-552.9499999999956
20220923_1,1261.0,33.0,135.6,-94.9257055337956,-325.45141106759115,-440.714263834489,203.0,405.300000000001,405.300000000001,-26.0,-1235.0,-94.3181818181818,134.8415465971382,364.0012750124582,478.5811392201183,-70.1,-249.65,-249.64999999999995
20220923_2,671.0,48.0,115.75384615384615,-35.49935947016198,-186.7525650941701,-262.3791679061742,250.2,495.8,495.8,-24.0,-248.0,-62.36923076923077,3.610541043511475,69.59031285625372,102.58019876262485,-226.6,-233.8,-233.8
20220926_1,1231.0,77.0,122.51776649746192,-6.8125570577831525,-136.14288061302824,-200.8080423906508,121.0,125.0,125.0,-24.0,-900.0,-89.84263959390863,64.67019128845764,219.1830221708239,296.43943761200705,-119.4,-604.0,-604.0
20220926_2,1224.0,80.0,227.70032573289905,-43.35304449093255,-314.4064147147641,-449.93309982667984,352.8000000000021,1027.0,1027.0,-27.0,-898.0,-149.7915309446254,70.75863273539218,291.3087964154098,401.58387825541865,-292.0,-880.7,-880.6999999999999
20220927_0,1277.0,88.0,195.3809523809524,-49.48048033022064,-294.3419130413937,-416.77262939698016,278.9,668.499999999994,668.499999999994,-25.0,-1239.0,-124.68253968253968,121.75873366238302,368.2000070073057,491.420643679767,-271.0,-449.4499999999998,-449.4499999999966
20220927_1,1273.0,67.0,189.0371287128713,-73.30749359009988,-335.652115893071,-466.8244270445566,243.79999999999995,972.0,972.0,-31.0,-1237.0,-164.98762376237624,136.8161386606625,438.6199010837012,589.5217822952206,-737.9,-937.1,-937.1
20220927_2,301.0,73.0,104.75454545454544,78.95582106441827,53.157096674291104,40.25773447922752,122.2,136.0,136.0,-27.0,-927.0,-62.36818181818182,45.46699549886416,153.30217281591013,207.21976147443308,-70.39999999999999,-104.94999999999992,-104.94999999999922
20220928_0,1239.0,81.0,202.82692307692307,-71.60241556869792,-346.0317542143189,-483.24642353712943,345.40000000000225,1035.999999999996,1035.999999999996,-30.0,-1279.0,-162.10576923076923,149.92792664534494,461.9616225214591,617.9784704595161,-306.0,-1268.35,-1268.35
20220928_1,1235.0,7.0,136.13623978201636,-115.90636215520942,-367.9489640924352,-493.97026506104817,265.0,676.1999999999999,676.1999999999999,-24.0,-1275.0,-108.69209809264304,128.23407499671077,365.1602480860645,483.6233346307414,-188.2,-242.4,-242.4
20220928_2,347.0,17.0,51.142857142857146,-7.670486664070914,-66.48383047099898,-95.890502374463,88.30000000000001,239.0,239.0,-23.0,-907.0,-147.3154761904762,118.07349694978552,383.4624700900473,516.1569566601781,-891.3,-899.0,-899.0
20220929_0,672.0,15.0,97.72307692307692,15.668662791191906,-66.3857513406931,-107.4129584066356,125.2,136.04999999999998,136.04999999999998,-14.0,-1189.0,-88.45384615384616,55.59304730140171,199.6399407566496,271.6633874842735,-154.59999999999994,-379.15,-379.15
20220929_1,686.0,68.0,147.69281045751634,-4.26219932275157,-156.21720910301948,-232.19471399315344,171.0,672.0,672.0,-10.0,-597.0,-109.9967320261438,63.57631676880554,237.14936556375488,323.9358899612295,-418.0,-590.75,-590.75
20220929_2,303.0,55.0,160.35582822085888,90.61952623009162,20.883224239324363,-13.98492675605928,274.0,290.0,290.0,32.0,-712.0,-173.93047034764825,18.23565290567845,210.40177615900515,306.48483778566856,-394.2,-687.6,-687.6
20220930_0,1207.0,85.0,208.092807424594,21.977362582926816,-164.13808225874033,-257.1958046795739,406.0,434.5,434.5,-17.0,-1319.0,-150.61716937354987,71.52392256529654,293.66501450414296,404.7355604735662,-361.0,-394.0,-394.0
20220930_1,602.0,75.0,116.89473684210526,12.919607138645064,-91.05552256481512,-143.04308741654523,111.0,183.9,183.9,-17.0,-1302.0,-78.14912280701755,89.02733755604173,256.203797919101,339.79202810063066,-80.0,-100.95,-100.95
20220930_2,581.0,25.0,74.43333333333334,-24.598566074745136,-123.6304654828236,-173.14641518686284,85.0,151.54999999999998,151.54999999999998,-15.0,-804.0,-55.03333333333333,33.43485135812638,121.90303604958608,166.13712839531595,-104.0,-127.55,-127.54999999999998
20221010_1,1210.0,58.0,166.29596977329976,-17.81266109734375,-201.9212919679873,-293.975607403309,532.5999999999999,601.2999999999997,601.2999999999997,-1.0,-1310.0,-125.30415617128465,91.0316963047236,307.3675487807318,415.535475018736,-550.0,-627.0,-627.0
20221010_2,1098.0,48.0,103.41138211382112,-26.89695255906216,-157.20528723194545,-222.35945456838712,105.0,198.0,198.0,-5.0,-615.0,-47.20975609756098,29.15252910745341,105.5148143124678,143.69595691497497,-84.0,-148.6,-148.59999999999994
20221011_0,1355.0,90.0,264.8290598290598,-72.0686605191679,-408.9663808673956,-577.4152410415095,303.0000000000007,1336.0,1336.0,-27.0,-1235.0,-234.03418803418805,78.33669374998135,390.7075755341508,546.8930164262354,-267.99999999999994,-1214.0,-1214.0
20221011_1,1330.0,32.0,85.70944992947814,-6.909294639863404,-99.52803920920496,-145.83741149387572,115.40000000000008,196.20000000000005,196.20000000000005,9.0,-716.0,-40.131170662905504,52.44218398244746,145.01553862780042,191.3022159504769,-65.80000000000001,-144.6,-144.59999999999997
20221011_2,864.0,77.0,112.35128805620607,34.21773039469895,-43.91582726680819,-82.98260609756177,122.0,187.4999999999993,187.4999999999993,-3.0,-688.0,-38.06088992974239,56.04521361847476,150.1513171666919,197.2043689408005,-51.4,-120.99999999999996,-120.99999999999888
20221012_0,633.0,78.0,111.84437596302004,54.88544444576942,-2.073487071481182,-30.55295283010649,127.20000000000005,205.4000000000001,205.4000000000001,-1.0,-753.0,-36.89368258859784,39.93870336300684,116.77108931461152,155.18728229041386,-68.0,-160.8,-160.79999999999993
20221012_1,621.0,20.0,55.557731958762886,5.311534509485433,-44.93466293979202,-70.05776166443074,88.0,112.74999999999976,112.74999999999976,-2.0,-718.0,-23.984536082474225,30.113249935577432,84.21103595362909,111.25992896265493,-30.099999999999994,-44.55,-44.54999999999996
20221012_2,122.0,16.0,50.7925,35.11516314141832,19.43782628283664,11.599157853545798,76.0,77.0,77.0,-3.0,-887.0,-29.5675,33.911112771930135,97.38972554386028,129.12903192982537,-42.0,-60.29999999999998,-60.2999999999999
20221013_0,634.0,50.0,98.7724039829303,34.72879810459706,-29.314807773736177,-61.33661071290278,105.80000000000008,206.79999999999995,206.79999999999995,-6.0,-1057.0,-46.76529160739687,59.57586686144153,165.91702533027993,219.08760456469912,-82.19999999999997,-174.39999999999998,-174.3999999999998
20221013_1,543.0,-7.0,56.00579150579151,9.528744391597094,-36.94830272259732,-60.18682627969453,80.0,113.0,113.0,-4.0,-1055.0,-28.37934362934363,28.98793582197716,86.35521527329794,115.03885499895831,-28.0,-94.25,-94.24999999999996
20221013_2,121.0,14.0,33.1784140969163,20.750205381566552,8.321996666216801,2.107892308541928,47.0,48.0,48.0,12.0,-902.0,-9.79295154185022,76.0079954862334,161.808942514317,204.7094160283588,-27.7,-34.0,-34.0
20221014_0,585.0,6.0,43.56743501716528,-4.011879878384846,-51.59119477393497,-75.38085222171003,50.0,127.09999999999992,127.09999999999992,14.0,-721.0,-6.101029916625797,48.386920997472025,102.87487191156984,130.11884736861876,-16.0,-81.1,-81.09999999999991
20221014_1,630.0,8.0,50.74888337468983,-23.977246633174133,-98.70337664103808,-136.06644164497007,45.600000000000136,183.5999999999999,183.5999999999999,12.0,-666.0,-11.341439205955336,64.97466336962773,141.2907659452108,179.44881723300233,-14.0,-138.0,-138.0
20221014_2,514.0,20.0,36.86180014174344,-3.3544596783878475,-43.57071949851914,-63.67884940858478,34.0,43.0,43.0,13.0,-574.0,-0.7328136073706591,44.39737058614272,89.5275547796561,112.0926468764128,2.0,-12.0,-12.0
20221017_0,624.0,20.0,41.74051754696916,-4.739746162305252,-51.22000987157966,-74.46014172621688,46.0,59.0,59.0,17.0,-708.0,-2.742998936547324,51.84165674846681,106.42631243348094,133.718640275988,-4.0,-19.0,-19.0
20221017_1,710.0,1.0,43.5,-14.693887625290287,-72.88777525058057,-101.98471906322573,43.0,64.04999999999973,64.04999999999973,18.0,-718.0,-2.5324324324324325,59.09684570537494,120.72612384318232,151.54076291208597,-2.0,-20.0,-20.0
20221017_2,679.0,2.0,49.68163592622294,-24.49879034394229,-98.67921661410752,-135.76942974919012,52.0,143.70000000000005,143.70000000000005,18.0,-712.0,-13.215717722534082,78.41185638605283,170.03943049463973,215.8532175489332,-15.0,-109.59999999999997,-109.59999999999955
20221018_0,681.0,18.0,43.33377571333776,-13.058166994828769,-69.45010970299529,-97.64608105707856,59.0,117.40000000000008,117.40000000000008,11.0,-903.0,-9.55872594558726,61.67265335861336,132.90403266281396,168.51972231491428,-17.0,-78.0,-78.0
20221018_1,601.0,6.0,41.15132408575032,-13.402499550403611,-67.95632318655754,-95.2332350046345,48.0,57.0,57.0,12.0,-734.0,-8.90983606557377,70.75921957618824,150.42827521795027,190.2628030388313,-13.0,-26.0,-26.0
20221018_2,670.0,6.0,45.7426536064114,-17.262952819369573,-80.26855924515054,-111.77136245804104,50.80000000000007,60.0,60.0,13.0,-513.0,-4.02493321460374,53.29669822813109,110.61832967086592,139.27914539223335,-12.0,-25.8,-25.799999999999898
20221019_0,692.0,14.0,42.41185647425897,-25.986255696058493,-94.38436786637595,-128.58342395153468,48.90000000000009,149.9000000000001,149.9000000000001,19.0,-659.0,-10.69188767550702,61.9123903194084,134.51666831432382,170.81880731178154,-16.0,-143.0,-143.0
20221019_1,658.0,8.0,37.04442649434572,-18.920704095968745,-74.8858346862832,-102.86839998144046,39.0,45.0,45.0,20.0,-642.0,-3.861066235864297,59.18877292157424,122.23861207901278,153.76353165773207,-9.0,-19.0,-19.0
20221019_2,426.0,15.0,43.42307692307692,-8.283272635630084,-59.98962219433709,-85.8427969736906,43.0,154.14999999999998,154.14999999999998,20.0,-284.0,-6.75058275058275,33.51514233825113,73.78086742708501,93.91372997150197,-19.0,-107.15,-107.14999999999996
20221020_0,680.0,21.0,31.24065196548418,1.9463199848186896,-27.3480119958468,-41.99517798617956,35.0,46.0,46.0,20.0,-621.0,3.7555129434324064,25.37224542246513,46.98897790149786,57.79734414101422,-1.0,-13.0,-13.0
20221020_1,692.0,25.0,39.47184231697506,5.481303161241726,-28.50923599449161,-45.50450557235828,56.0,102.0,102.0,12.0,-226.0,-1.078841512469831,21.039065933856136,43.15697338018211,54.215927103345095,-24.0,-54.0,-54.0
20221020_2,640.0,26.0,49.35714285714285,-19.42472078065385,-88.20658441845055,-122.59751623734893,56.700000000000045,147.54999999999973,147.54999999999973,11.0,-603.0,-11.31015037593985,54.67331095146384,120.65677227886752,153.64850294256937,-18.0,-81.54999999999998,-81.54999999999986
20221021_0,686.0,25.0,46.50874403815581,-9.88903913944126,-66.28682231703831,-94.48571390583685,53.0,154.14999999999986,154.14999999999986,15.0,-641.0,-10.159777424483307,51.416719584362376,112.99321659320806,143.7814650976309,-16.0,-136.15,-136.14999999999995
20221021_1,609.0,10.0,41.38701923076923,-1.1207690239294976,-43.62855727862823,-64.8824514059776,98.0,110.0,110.0,20.0,-623.0,-4.061298076923077,41.81273365662054,87.68676539016414,110.62378125693594,-24.69999999999999,-71.0,-71.0
20221021_2,609.0,8.0,31.421709894332373,-5.34002121807805,-42.10175233048847,-60.48261788669368,38.0,46.0,46.0,20.0,-617.0,1.8645533141210373,30.109530778082743,58.35450824204445,72.47699697402531,0.0,-5.0,-4.999999999999957
20221024_0,636.0,22.0,41.34241908006814,-17.052511356635385,-75.44744179333891,-104.64490701169066,45.700000000000045,142.0,142.0,15.0,-682.0,-12.496592844974446,55.65355660373834,123.80370605245112,157.8787807768075,-8.699999999999989,-163.35,-163.34999999999994
20221024_1,674.0,4.0,38.07638136511376,-25.27327091939192,-88.6229232038976,-120.29774934615044,34.0,51.0,51.0,20.0,-742.0,-4.769230769230769,49.14354477705842,103.0563203233476,130.0127080964922,-13.0,-33.75,-33.749999999999915
20221024_2,620.0,22.0,43.09621289662231,-42.80761817400252,-128.71144924462735,-171.66336477993977,34.0,68.0,68.0,10.0,-707.0,-13.255885363357216,71.13027831012539,155.516441983608,197.7095238203493,-13.399999999999991,-33.39999999999999,-33.39999999999992
20221025_0,603.0,12.0,34.96274038461539,0.4653208020139772,-34.03209878058743,-51.280808571888144,37.5,46.0,46.0,27.0,-914.0,-0.2720352564102564,42.323382977636975,84.9188012116842,106.2165103287078,-9.0,-16.0,-16.0
20221025_1,553.0,2.0,40.14922322158626,0.0326725034209189,-40.08387821474442,-60.142153573827095,53.0,66.0,66.0,19.0,-731.0,-10.752657399836467,38.353085344169,87.45882808817446,112.01169946017718,-29.0,-62.0,-62.0
20221025_2,503.0,4.0,35.3160621761658,-0.4039457047604387,-36.12395358568668,-53.983957526149794,54.0,60.0,60.0,20.0,-539.0,-5.203799654576857,40.502725279220186,86.20925021301723,109.06251267991574,-17.0,-25.0,-25.0
20221026_0,643.0,22.0,36.728971962616825,-12.898168904827005,-62.52530977227083,-87.33888020599274,34.0,59.0,59.0,16.0,-666.0,-6.861682242990654,54.25958861470255,115.38085947239576,145.94149490124235,-9.0,-24.0,-24.0
