date,max(buy),min(buy),mean(buy),mean-std(buy),mean-2std(buy),mean-2.5std(buy),price_quantile_90(buy),price_quantile_95(buy),price_quantile_N(buy),max(sell),min(sell),mean(sell),mean+std(sell),mean+2std(sell),mean+2.5std(sell),price_quantile_90(sell),price_quantile_95(sell),price_quantile_N(sell)
20221018_0,51.0,12.0,23.32286995515695,17.901831718336197,12.48079348151544,9.770274363105065,28.0,30.0,30.0,23.0,-28.0,10.23542600896861,19.4921005239624,28.7487750389562,33.37711229645309,-5.0,-9.75,-9.74999999999998
20221018_1,41.0,12.0,29.684971098265898,25.70944384321104,21.73391658815618,19.746152960628752,35.0,37.0,37.0,34.0,10.0,18.7485549132948,22.24643181696188,25.744308720628965,27.49324717246251,14.0,11.25,11.250000000000014
20221018_2,40.0,25.0,32.25570776255708,29.51317798777219,26.770648212987297,25.39938332559485,36.0,37.0,37.0,33.0,15.0,22.73059360730593,26.027175812131105,29.32375801695627,30.97204911936885,19.0,18.0,18.0
20221019_0,67.0,25.0,34.89751552795031,28.72259438440185,22.5476732408534,19.46021266907917,42.0,47.89999999999998,47.89999999999998,31.0,6.0,20.562111801242235,24.319247385772776,28.07638297030332,29.9549507625686,16.0,13.0,13.0
20221019_1,39.0,25.0,33.36,30.71331084113574,28.06662168227148,26.74327710283935,36.0,37.0,37.0,30.0,11.0,22.825454545454544,27.031646461109425,31.2378383767643,33.340934334591736,16.0,13.7,13.700000000000012
20221019_2,46.0,27.0,34.41004184100419,31.87739057600313,29.344739311002066,28.078413678501533,37.0,39.0,39.0,31.0,15.0,24.702928870292887,27.10131053097948,29.49969219166608,30.698883022009376,21.0,20.0,20.0
20221020_0,43.0,19.0,29.085882352941177,25.06170182003663,21.037521287132087,19.02543102067981,35.0,38.0,38.0,29.0,0.0,17.77294117647059,21.437494210124896,25.102047243779204,26.93432376060636,14.0,11.0,11.0
20221020_1,43.0,20.0,30.03603603603604,26.49387705262525,22.95171806921447,21.180638577509075,34.0,37.0,37.0,27.0,11.0,19.07507507507508,21.924257542432787,24.77344000979049,26.19803124346935,15.200000000000005,14.0,14.0
20221020_2,44.0,19.0,28.360759493670887,23.737535366927723,19.11431124018456,16.802699176812972,34.0,39.0,39.0,29.0,3.0,18.41455696202532,22.44959911792898,26.484641273832644,28.50216235178448,13.0,9.75,9.750000000000014
20221021_0,43.0,22.0,31.08255813953488,27.934459988294915,24.786361837054947,23.21231276143496,35.0,36.0,36.0,30.0,-5.0,18.754651162790697,23.254972118276545,27.75529307376239,30.005453551505315,15.0,11.0,11.0
20221021_1,39.0,22.0,31.444444444444443,28.963826508015163,26.483208571585884,25.24289960337125,34.60000000000002,36.0,36.0,26.0,9.0,18.525925925925925,21.27670339378256,24.027480861639194,25.40286959556752,15.0,14.0,14.0
20221021_2,40.0,22.0,30.568115942028985,28.42047711190463,26.27283828178028,25.1990188667181,33.0,34.0,34.0,32.0,9.0,20.379710144927536,23.66518645239082,26.950662759854104,28.593400913585747,16.0,15.0,15.0
20221024_0,45.0,27.0,33.32620320855615,30.66722085326017,28.008238497964182,26.67874732031619,36.0,37.0,37.0,28.0,0.0,18.94117647058824,23.73236235561438,28.52354824064053,30.9191411831536,13.0,10.0,10.0
20221024_1,46.0,22.0,34.268416596105,31.80858472589714,29.34875285568928,28.118836920585352,37.0,38.0,38.0,32.0,8.0,21.86452159187129,25.23467013945732,28.604818687043352,30.289892960836365,17.0,16.0,16.0
20221024_2,42.0,28.0,35.64625850340136,33.38853623681848,31.130813970235604,30.001952836944163,38.0,39.0,39.0,30.0,11.0,23.639455782312925,26.038164463982632,28.43687314565234,29.63622748648719,21.0,20.0,20.0
20221025_0,58.0,26.0,35.279841897233204,31.96453696247581,28.649232027718423,26.991579560339733,38.0,39.0,39.0,33.0,11.0,22.063241106719367,24.650475577816938,27.237710048914508,28.53132728446329,19.0,17.0,17.0
20221025_1,39.0,22.0,29.3668016194332,26.71480337181955,24.062805124205905,22.73680600039908,33.0,34.0,34.0,26.0,9.0,19.356275303643724,22.288966865074425,25.22165842650513,26.68800420722048,15.0,15.0,15.0
20221025_2,46.0,17.0,29.366748166259168,25.98680887024251,22.60686957422585,20.91689992621752,32.0,34.0,34.0,26.0,9.0,18.91442542787286,22.143431865381093,25.37243830288933,26.986941521643445,14.0,13.0,13.0
20221026_0,49.0,24.0,33.593333333333334,30.104850151667254,26.61636697000117,24.87212537916813,38.0,40.0,40.0,28.0,6.0,18.34933333333333,21.73359650353192,25.117859673730496,26.80999125882979,13.0,11.0,11.0
20221026_1,45.0,19.0,28.20472440944882,24.713549002732616,21.222373596016418,19.47678589265832,33.0,34.0,34.0,27.0,6.0,18.971653543307088,22.557792685780377,26.143931828253667,27.93700139949032,14.0,11.700000000000005,11.700000000000028
20221026_2,50.0,21.0,31.54350282485876,27.79979390259748,24.0560849803362,22.18423051920556,36.0,40.79999999999996,40.79999999999996,28.0,13.0,19.95141242937853,22.27795384282637,24.604495256274205,25.767765962998123,17.0,16.0,16.0
