date,max(buy),min(buy),mean(buy),mean-std(buy),mean-2std(buy),mean-2.5std(buy),price_quantile_90(buy),price_quantile_95(buy),price_quantile_N(buy),max(sell),min(sell),mean(sell),mean+std(sell),mean+2std(sell),mean+2.5std(sell),price_quantile_90(sell),price_quantile_95(sell),price_quantile_N(sell)
20220908_1,159.0,-5.0,18.055007052186177,2.3922992314356524,-13.270408589314872,-21.10176249969013,27.0,29.600000000000023,29.600000000000023,-30.0,-96.0,-46.212976022567,-36.15517410526835,-26.097372187969704,-21.06847122932038,-60.0,-64.6,-64.59999999999997
20220908_2,207.0,-11.0,20.48559670781893,-19.17196119891484,-58.829519105648615,-78.6582980590155,21.0,116.79999999999995,116.79999999999995,-32.0,-192.0,-49.42798353909465,-17.258912507418117,14.910158524258414,30.99469404009668,-55.0,-141.9,-141.89999999999998
20220909_0,503.0,-5.0,24.801869158878503,-47.71204527664126,-120.22595971216104,-156.48291692992092,38.60000000000002,111.59999999999992,111.59999999999992,-24.0,-412.0,-52.21495327102804,9.66965422465556,71.55426172033916,102.49656546818096,-97.39999999999996,-141.3,-141.29999999999998
20220909_1,534.0,-2.0,19.667355371900825,-32.29439685054296,-84.25614907298674,-110.23702518420863,24.0,97.69999999999992,97.69999999999992,-28.0,-440.0,-54.67355371900826,7.597350152048897,69.86825402310606,101.00370595863464,-80.39999999999999,-137.85,-137.84999999999997
20220909_2,355.0,-5.0,29.68487394957983,-42.25137787937796,-114.18762970833576,-150.15575562281464,86.60000000000014,115.14999999999998,115.14999999999998,-7.0,-371.0,-50.92857142857143,23.78030901652589,98.4891894616232,135.84362968417184,-141.99999999999997,-175.45,-175.44999999999996
20220913_1,104.0,-1.0,23.933906146728354,8.79234768220519,-6.349210782317975,-13.91999001457956,40.0,56.0,56.0,-6.0,-482.0,-42.96761401189689,-8.659954738119374,25.647704535658143,42.8015341725469,-53.0,-63.0,-63.0
20220913_2,112.0,6.0,23.536679536679536,9.912089144656973,-3.712501247365591,-10.524796443376871,45.0,48.19999999999999,48.19999999999999,-26.0,-59.0,-38.22007722007722,-32.91304824115113,-27.60601926222504,-24.952504772761984,-46.0,-49.0,-49.0
20220914_0,341.0,6.0,39.18363273453094,2.2270878259920224,-34.729457082546894,-53.20772953681635,59.0,90.0,90.0,-5.0,-507.0,-46.30738522954092,9.062943696241206,64.43327262202334,92.11843708491438,-65.0,-137.0,-136.99999999999991
20220914_1,134.0,7.0,31.02898550724637,6.52924000875052,-17.970505489745335,-30.220378238993263,61.200000000000045,89.00000000000006,89.00000000000006,-12.0,-49.0,-31.420289855072465,-22.749291352476646,-14.078292849880828,-9.742793598582915,-42.0,-44.8,-44.79999999999998
20220914_2,456.0,6.0,41.48802395209581,-8.384951394853132,-58.25792674180207,-83.19441441527655,68.69999999999999,85.0,85.0,-23.0,-49.0,-32.58982035928144,-27.98377739384309,-23.377734428404743,-21.07471294568557,-39.7,-40.0,-40.0
20220915_0,345.0,8.0,41.72549019607843,-4.621572634912589,-50.96863546590361,-74.14216688139913,88.10000000000002,116.0,116.0,-20.0,-492.0,-53.17058823529412,7.559646510069662,68.28988125543344,98.65499862811534,-83.0,-124.65,-124.64999999999992
20220915_1,437.0,7.0,45.75046904315197,-2.395842513486336,-50.542154070124646,-74.61530984844379,79.80000000000001,106.79999999999971,106.79999999999971,-20.0,-495.0,-50.75422138836773,7.76260998957693,66.2794413675216,95.53785705649392,-54.8,-117.4,-117.39999999999998
20220915_2,394.0,4.0,39.21700879765396,7.682623207384335,-23.85176238288529,-39.6189551780201,66.0,100.0,100.0,-20.0,-446.0,-49.81231671554252,9.313222413197336,68.4387615419372,98.00153110630714,-50.0,-147.0,-147.0
20220916_0,128.0,5.0,27.557522123893804,3.255646050475047,-21.04623002294371,-33.19716805965309,54.0,91.0,91.0,-26.0,-164.0,-41.92541087231353,-19.120886580985925,3.683637710341678,15.085899856005476,-46.0,-108.0,-108.0
20220916_1,409.0,9.0,65.0,-19.796155166578643,-104.59231033315729,-146.9903879164466,125.8,244.3999999999945,244.3999999999945,-20.0,-534.0,-79.13304721030043,34.74152223770061,148.61609168570163,205.5533764097021,-154.8,-303.3999999999995,-303.3999999999963
20220916_2,149.0,11.0,42.22145328719724,20.32413713144275,-1.5731790243117345,-12.521837102188975,64.19999999999999,81.59999999999997,81.59999999999997,-20.0,-134.0,-37.42214532871972,-19.480834925276675,-1.539524521833627,7.4311306798879,-47.0,-64.0,-64.0
20220919_0,260.0,3.0,42.25236593059937,1.405561571547196,-39.441242787504976,-59.864644967031055,96.40000000000003,130.0,130.0,-18.0,-506.0,-52.99053627760252,20.563735677279617,94.11800763216176,130.89514360960283,-102.8,-125.2,-125.2
20220919_1,148.0,7.0,32.92807424593968,12.056441650163194,-8.815190945613288,-19.25100724350153,50.0,57.5,57.5,-24.0,-71.0,-37.11136890951276,-31.63782698997064,-26.16428507042852,-23.42751411065745,-42.0,-48.0,-48.0
20220919_2,381.0,0.0,58.11214953271028,-32.39914055409354,-122.91043064089736,-168.16607568429927,139.0,370.0,370.0,-24.0,-526.0,-71.71028037383178,51.50690663850685,174.72409365084548,236.3326871570148,-126.0,-517.0,-516.9999999999999
20220920_0,144.0,-12.0,29.56146572104019,-3.3955316105643867,-36.35252894216896,-52.83102760797125,81.0,115.75,115.75,-20.0,-487.0,-44.12293144208038,-17.134851339755603,9.853228762569174,23.347268813731567,-85.5,-102.0,-102.0
20220920_1,72.0,4.0,25.012738853503183,12.089938272750494,-0.8328623080021949,-7.294262598378541,42.0,45.0,45.0,-28.0,-486.0,-42.819532908704886,-7.518861117653181,27.781810673398525,45.43214656892438,-46.0,-47.95,-47.94999999999996
20220920_2,29.0,-16.0,9.840909090909092,-0.2154798947779621,-10.271868880465016,-15.30006337330854,24.0,28.0,28.0,-29.0,-500.0,-41.574675324675326,-13.950788994445691,13.673097335783943,27.48504050089876,-45.0,-57.95,-57.94999999999996
20220921_0,414.0,2.0,41.29080932784637,-18.939977910488608,-79.17076514882359,-109.28615876799104,107.40000000000008,131.0,131.0,-27.0,-485.0,-56.18244170096022,11.307023647647362,78.79648899625494,112.54122167055874,-87.2,-120.2,-120.19999999999992
20220921_1,75.0,2.0,22.418886198547217,9.259118982437933,-3.9006482336713546,-10.480531841725997,40.0,50.0,50.0,-27.0,-86.0,-36.69854721549637,-30.22005709429565,-23.741566973094937,-20.50232191249458,-41.0,-44.75,-44.749999999999964
20220921_2,99.0,26.0,40.32590529247911,33.41892779038247,26.511950288285828,23.05846153723751,46.0,49.19999999999993,49.19999999999993,-25.0,-95.0,-38.83565459610028,-30.650420646619228,-22.46518669713818,-18.372569722397657,-45.0,-50.0,-50.0
20220922_0,153.0,2.0,32.11697247706422,3.424988158332095,-25.26699616040004,-39.6129883197661,68.5,99.5,99.5,-27.0,-130.0,-42.27752293577981,-20.921675276360176,0.4341723830594617,11.11209621276928,-64.0,-104.5,-104.49999999999996
20220922_1,414.0,6.0,42.273371104815865,0.098419051775302,-42.07653300126526,-63.16400902778554,100.0,123.5,123.5,-25.0,-506.0,-50.46458923512748,-9.052876520330514,32.35883619446645,53.06469255186494,-77.5,-121.0,-121.0
20220922_2,478.0,24.0,66.09417040358744,-17.272463188595893,-100.63909678077924,-142.3224135768709,110.8,133.0,133.0,-29.0,-414.0,-58.93273542600897,13.281472673870702,85.49568077375037,121.6027848236902,-109.4,-133.9,-133.89999999999998
