date,max(buy),min(buy),mean(buy),mean-std(buy),mean-2std(buy),mean-2.5std(buy),price_quantile_90(buy),price_quantile_95(buy),price_quantile_N(buy),max(sell),min(sell),mean(sell),mean+std(sell),mean+2std(sell),mean+2.5std(sell),price_quantile_90(sell),price_quantile_95(sell),price_quantile_N(sell)
20220915_0,96.0,24.0,53.66544117647059,35.25818470569078,16.850928234910974,7.647299999521074,88.0,88.0,88.0,56.0,-758.0,21.477941176470587,77.70065889493661,133.92337661340264,162.03473547263565,14.0,2.3000000000000043,2.300000000000047
20220916_0,82.0,44.0,58.73395565927655,53.52985046191425,48.32574526455196,45.723692665870814,64.0,66.0,66.0,64.0,30.0,42.80280046674446,47.83528957439859,52.86777868205272,55.38402323587979,36.0,34.0,34.0
20220916_1,68.0,42.0,53.00448430493274,48.536885480073046,44.06928665521336,41.83548724278352,58.0,60.0,60.0,56.0,28.0,40.98654708520179,46.43530909074427,51.884071096286746,54.60845209905799,36.0,34.0,34.0
20220916_2,80.0,50.0,60.57418788410887,56.55616159522448,52.53813530634009,50.529122161897895,66.0,66.19999999999982,66.19999999999982,60.0,36.0,44.95346795434592,48.78017709058027,52.606886226814616,54.52024079493179,40.0,40.0,40.0
20220919_0,148.0,-62.0,32.0438202247191,27.58902687106489,23.13423351741069,20.906836840583587,36.0,36.0,36.0,134.0,-84.0,17.847191011235957,22.44198215470301,27.03677329817007,29.3341688699036,14.0,14.0,14.0
20220919_1,62.0,36.0,50.33906633906634,46.03167609315156,41.72428584723677,39.57059072427938,56.0,56.0,56.0,50.0,26.0,37.15085995085995,41.35208454612329,45.55330914138663,47.65392143901829,32.0,30.0,30.0
20220919_2,54.0,24.0,37.25914861837192,30.18654439395319,23.113940169534462,19.577638057325103,48.0,50.0,50.0,42.0,-8.0,23.024645257654967,31.09913898534576,39.17363271303656,43.21087957688195,16.0,16.0,16.0
20220920_0,48.0,16.0,35.262702702702704,32.62397969607138,29.98525668944006,28.6658951861244,38.0,40.0,40.0,34.0,0.0,20.14162162162162,22.60178504612185,25.061948470622088,26.292030182872207,18.0,18.0,18.0
20220920_1,46.0,18.0,32.81611208406305,28.03253210193942,23.24895211981579,20.857162128753977,40.0,42.0,42.0,34.0,6.0,19.426736719206072,24.47747550678809,29.52821429437011,32.05358368816112,14.0,14.0,14.0
20220920_2,38.0,24.0,32.24950884086444,29.475024602840968,26.70054036481749,25.31329824580575,36.0,36.0,36.0,26.0,14.0,18.231827111984284,20.23901400286368,22.24620089374308,23.249794339182777,16.0,16.0,16.0
20220921_0,48.0,22.0,30.29732620320856,27.455811878960944,24.61429755471333,23.19354039258952,34.0,34.0,34.0,28.0,0.0,15.622459893048129,18.66394729744123,21.705434701834328,23.226178404030875,12.0,12.0,12.0
20220921_1,40.0,18.0,28.609832635983263,25.05323815757376,21.49664367916425,19.718346439959504,34.0,34.0,34.0,22.0,-2.0,13.367154811715482,16.97584376497386,20.58453271823224,22.38887719486143,8.0,8.0,8.0
20220921_2,40.0,22.0,31.652679147837315,27.74936268033986,23.84604621284241,21.89438797909368,38.0,38.0,38.0,28.0,6.0,16.100710135571337,19.55961330323716,23.018516470902988,24.7479680547359,12.0,12.0,12.0
20220922_0,118.0,-42.0,39.75522755227552,35.45663525562729,31.158042958979053,29.008746810654937,44.0,44.0,44.0,94.0,-64.0,25.829028290282903,30.8723769863958,35.91572568250869,38.43740003056514,20.0,20.0,20.0
20220922_1,38.0,18.0,29.56438236577913,25.949200066471693,22.33401776716425,20.52642661751053,34.0,34.0,34.0,28.0,6.0,14.990833697075512,19.2210435934669,23.45125348985828,25.56635843805397,10.0,8.0,8.0
20220922_2,42.0,24.0,33.31785714285714,30.232123175517017,27.14638920817689,25.603522224506825,38.0,38.0,38.0,30.0,14.0,21.40714285714286,24.613250586360923,27.819358315578988,29.422412180188022,18.0,18.0,18.0
20220923_0,42.0,42.0,42.0,,,,42.0,42.0,42.0,26.0,26.0,26.0,,,,26.0,26.0,26.0
20220923_1,42.0,22.0,32.533596837944664,28.36371711626953,24.1938373945944,22.10889753375683,36.0,38.0,38.0,34.0,12.0,19.25296442687747,22.73829717235993,26.223629917842395,27.966296290583625,14.0,14.0,14.0
20220923_2,34.0,22.0,28.06006006006006,25.71690879996027,23.37375753986048,22.202181909810584,32.0,32.0,32.0,22.0,12.0,16.70870870870871,19.17336535085767,21.63802199300663,22.870350314081108,14.0,13.200000000000005,13.200000000000031
20220926_0,38.0,20.0,33.165217391304346,30.71104627883349,28.256875166362622,27.029789610127192,36.0,36.0,36.0,26.0,6.0,19.98743961352657,22.25214489449432,24.51685017546208,25.649202815945955,18.0,16.0,16.0
20220926_1,36.0,16.0,26.41277890466532,21.499941582006965,16.587104259348614,14.130685598019442,32.0,34.0,34.0,26.0,4.0,14.20892494929006,18.65591373323044,23.10290251717081,25.326396909141003,8.0,8.0,8.0
20220926_2,34.0,16.0,27.243493348756505,23.89746809307261,20.55144283738872,18.87843020954677,32.0,32.0,32.0,26.0,6.0,14.294968189705031,17.925277697162596,21.555587204620164,23.370741958348944,10.0,8.0,8.0
20220927_0,90.0,22.0,28.34795321637427,26.043458876219194,23.73896453606412,22.586717365986583,30.0,32.0,32.0,76.0,-2.0,15.72222222222222,18.086868045166263,20.4515138681103,21.63383677958232,14.0,12.0,12.0
20220927_1,48.0,18.0,29.030405405405407,25.05425072987753,21.078096054349665,19.09001871658573,34.0,36.0,36.0,26.0,6.0,17.061655405405407,20.304729876987302,23.547804348569205,25.169341584360154,12.0,12.0,12.0
20220927_2,38.0,22.0,28.52945252945253,24.9764558778485,21.423459226244475,19.646960900442465,34.0,36.0,36.0,28.0,8.0,17.383229383229384,20.66803175106705,23.95283411890472,25.59523530282356,14.0,12.0,12.0
20220928_0,46.0,24.0,33.67737226277372,30.129195665286552,26.581019067799385,24.8069307690558,38.0,38.0,38.0,30.0,10.0,20.82773722627737,24.49332629944218,28.15891537260699,29.9917099091894,16.0,14.0,14.0
20220928_1,38.0,10.0,23.99688230709275,17.139949017651254,10.283015728209756,6.854549083489005,34.0,36.0,36.0,26.0,-2.0,12.58456742010912,19.38105627597937,26.17754513184961,29.57578955978473,4.0,2.0,2.0
20220928_2,36.0,18.0,28.118410381184106,24.12870039388564,20.13899040658717,18.14413541293793,32.0,34.0,34.0,26.0,8.0,17.1338199513382,20.46837434582092,23.80292874030364,25.470205937545,12.0,10.0,10.0
20220929_0,54.0,16.0,29.388578789179903,25.54804303739532,21.707507285610724,19.787239409718424,34.0,36.0,36.0,32.0,-4.0,17.74237870330614,22.025197572519243,26.30801644173235,28.4494258763389,12.0,10.0,10.0
20220929_1,44.0,32.0,38.18934426229508,35.97302670145877,33.75670914062247,32.64855036020432,40.0,42.0,42.0,34.0,14.0,26.10081967213115,28.739914398752163,31.37900912537318,32.698556488683685,22.0,22.0,22.0
20220929_2,40.0,26.0,34.20873786407767,31.43492369485164,28.661109525625616,27.2742024410126,38.0,38.0,38.0,30.0,14.0,22.932038834951456,25.09882739913843,27.2656159633254,28.34901024541889,20.0,20.0,20.0
20220930_1,48.0,24.0,38.53822629969419,32.622408594140666,26.706590888587147,23.748682035810383,46.0,46.0,46.0,36.0,12.0,25.24683267802534,31.974734199934822,38.70263572184432,42.06658648279906,14.0,14.0,14.0
20220930_2,50.0,38.0,44.0377358490566,41.71877142739838,39.39980700574016,38.24032479491105,46.0,48.0,48.0,38.0,20.0,30.85394828791055,33.176304697944595,35.498661107978634,36.65983931299566,28.0,28.0,28.0
20221010_0,64.0,40.0,51.43971631205674,47.39218942016497,43.34466252827319,41.32089908232731,56.0,58.0,58.0,50.0,32.0,38.248226950354606,41.19171854242357,44.13521013449255,45.60695593052703,34.0,34.0,34.0
20221010_1,104.0,40.0,51.91041061800083,47.58790132422162,43.265392030442406,41.1041373835528,56.0,58.0,58.0,56.0,-20.0,37.694732476150975,42.35761331516648,47.02049415418197,49.35193457368972,32.0,30.0,30.0
20221010_2,54.0,30.0,45.269109947643976,40.60808024978824,35.94705055193251,33.616535703004644,50.0,50.0,50.0,42.0,20.0,34.14869109947644,38.18298926671375,42.21728743395106,44.234436517569705,30.0,26.0,26.0
20221011_0,50.0,30.0,37.71657142857143,34.931799123402484,32.14702681823354,30.75464066564908,42.0,42.0,42.0,36.0,18.0,26.85828571428572,29.6853839076724,32.51248210105908,33.926031197752415,24.0,22.0,22.0
20221011_1,60.0,30.0,41.66832354270221,37.41628704092432,33.16425053914642,31.038232288257475,46.0,48.0,48.0,40.0,14.0,30.39674649796656,34.50643472584628,38.61612295372599,40.67096706766585,24.0,24.0,24.0
20221011_2,46.0,28.0,37.18741258741259,33.70158469439041,30.21575680136824,28.47284285485715,42.0,44.0,44.0,38.0,20.0,26.98741258741259,30.41105465414517,33.834696720877744,35.54651775424404,24.0,22.0,22.0
20221012_0,60.0,28.0,36.45827303424988,33.637993414783004,30.817713795316127,29.40757398558269,40.0,40.0,40.0,40.0,12.0,24.533526290400385,27.02345968358943,29.51339307677848,30.758359773373,22.0,22.0,22.0
20221012_1,42.0,28.0,35.81872595126122,33.68673212112006,31.554738290978896,30.488741375908315,38.0,40.0,40.0,32.0,18.0,24.075245831551943,26.55033616729317,29.025426503034403,30.262971670905017,22.0,20.0,20.0
20221012_2,42.0,30.0,37.7887537993921,35.8153038746413,33.841853949890506,32.85512898751511,40.0,40.0,40.0,32.0,20.0,25.358662613981764,27.66235633276527,29.966050051548773,31.117896910940527,22.0,22.0,22.0
20221013_0,58.0,26.0,39.46906965416464,35.214884355533776,30.96069905690291,28.83360640758748,44.0,46.0,46.0,42.0,10.0,27.694106186069167,31.91786121821354,36.14161625035791,38.2534937664301,22.0,20.0,20.0
20221013_1,48.0,28.0,35.65528634361233,33.09384205716708,30.53239777072184,29.25167562749921,38.0,40.0,40.0,30.0,18.0,24.031938325991188,26.205932831179933,28.37992733636868,29.466924588963053,22.0,20.0,20.0
