date,max(buy),min(buy),mean(buy),mean-std(buy),mean-2std(buy),mean-2.5std(buy),price_quantile_90(buy),price_quantile_95(buy),price_quantile_N(buy),max(sell),min(sell),mean(sell),mean+std(sell),mean+2std(sell),mean+2.5std(sell),price_quantile_90(sell),price_quantile_95(sell),price_quantile_N(sell)
20220916_0,206.0,-35.0,-4.092050209205021,-48.22696440217689,-92.36187859514877,-114.4293356916347,33.20000000000002,67.0,67.0,-31.0,-101.0,-44.05020920502092,-32.4868293289756,-20.92344945293028,-15.14175951490762,-51.0,-54.1,-54.09999999999999
20220916_1,-24.0,-29.0,-26.43478260869565,-27.77730692560837,-29.1198312425211,-29.791093400977463,-25.0,-25.0,-25.0,-38.0,-49.0,-42.869565217391305,-39.76086265513911,-36.65216009288692,-35.09780881176082,-47.8,-48.0,-48.0
20220916_2,-19.0,-28.0,-25.73333333333333,-28.36464660313029,-30.99595987292724,-32.31161650782571,-23.0,-21.800000000000004,-21.800000000000004,-40.0,-48.0,-42.93333333333333,-40.65089520503197,-38.36845707673061,-37.22723801257993,-46.2,-47.3,-47.3
20220919_0,-12.0,-37.0,-28.81132075471698,-33.94812836770291,-39.08493598068884,-41.65333978718181,-23.0,-19.60000000000001,-19.60000000000001,-43.0,-85.0,-51.75471698113208,-39.63685721139018,-27.51899744164828,-21.460067556777325,-77.0,-78.4,-78.39999999999999
20220919_1,-11.0,-44.0,-31.12121212121212,-36.82550241352087,-42.52979270582961,-45.38193785198398,-26.0,-23.0,-23.0,-44.0,-61.0,-51.333333333333336,-48.02677419529674,-44.72021505726014,-43.066935488241846,-54.0,-55.0,-55.0
20220919_2,-34.0,-39.0,-36.94736842105263,-38.59639790702735,-40.24542739300206,-41.06994213598942,-34.8,-34.0,-34.0,-49.0,-54.0,-51.73684210526316,-50.63926369686898,-49.5416852884748,-48.99289608427771,-53.0,-53.1,-53.1
20220920_0,-5.0,-45.0,-31.56410256410257,-38.68930886066442,-45.81451515722627,-49.3771183055072,-19.700000000000003,-17.0,-17.0,-41.0,-78.0,-54.26923076923077,-46.21636473603169,-38.16349870283263,-34.137065686233086,-65.6,-70.3,-70.3
20220920_1,-29.0,-42.0,-37.0,-40.550872519842684,-44.10174503968536,-45.877181299606704,-31.6,-30.15,-30.15,-50.0,-68.0,-56.375,-50.61296156238769,-44.85092312477538,-41.96990390596922,-64.7,-65.85,-65.85
20220920_2,-36.0,-42.0,-39.5,-41.2389104415724,-42.9778208831448,-43.847276103931,-37.0,-36.05,-36.05,-53.0,-63.0,-58.09090909090909,-54.711572851362426,-51.33223661181576,-49.64256849204242,-62.0,-62.95,-62.95
20220921_0,-17.0,-43.0,-33.725,-38.92848748929812,-44.13197497859624,-46.7337187232453,-26.0,-25.0,-25.0,-51.0,-91.0,-63.825,-54.96747386508122,-46.10994773016244,-41.681184662703046,-76.2,-79.0,-79.0
20220921_1,-25.0,-46.0,-37.083333333333336,-41.76369625745036,-46.44405918156739,-48.78424064362591,-33.3,-26.200000000000017,-26.200000000000017,-45.0,-74.0,-62.0,-53.35230616316395,-44.704612326327904,-40.38076540790988,-74.0,-74.0,-74.0
20220921_2,-40.0,-61.0,-48.07142857142857,-55.01587057387015,-61.96031257631172,-65.4325335775325,-41.0,-40.65,-40.65,-58.0,-83.0,-71.07142857142857,-63.23203803669668,-55.39264750196479,-51.47295223459884,-82.4,-83.0,-83.0
20220922_0,-42.0,-77.0,-56.86363636363637,-65.5348689658353,-74.20610156803423,-78.54171786913369,-47.3,-43.0,-43.0,-67.0,-94.0,-81.4090909090909,-73.4694401001266,-65.5297892911623,-61.55996388668015,-91.0,-92.0,-92.0
20220922_1,-41.0,-60.0,-52.67045454545455,-57.57815806278341,-62.48586158011227,-64.9397133387767,-46.0,-45.0,-45.0,-58.0,-106.0,-75.39772727272727,-67.3268632948094,-59.25599931689153,-55.2205673279326,-86.0,-86.65,-86.64999999999999
20220922_2,-39.0,-70.0,-59.45,-65.75350779537202,-72.05701559074404,-75.20876948843005,-54.8,-52.29999999999999,-52.29999999999999,-71.0,-84.0,-77.95,-74.5398757546944,-71.12975150938881,-69.42468938673602,-81.2,-83.05,-83.05
20220923_0,-38.0,-76.0,-59.63636363636363,-70.45826903068475,-81.28017442500585,-86.69112712216642,-48.0,-42.00000000000001,-42.00000000000001,-72.0,-103.0,-81.57575757575758,-73.80550056975102,-66.03524356374447,-62.15011506074119,-90.0,-90.8,-90.8
20220923_1,-65.0,-83.0,-71.78571428571429,-76.38327517574785,-80.9808360657814,-83.27961651079818,-65.0,-65.0,-65.0,-85.0,-105.0,-89.71428571428571,-85.75283122216773,-81.79137673004976,-79.81064948399077,-92.3,-96.25,-96.25
20220923_2,-64.0,-72.0,-69.5,-73.19684550213647,-76.89369100427294,-78.74211375534118,-66.1,-65.05,-65.05,-84.0,-85.0,-84.5,-83.92264973081038,-83.34529946162075,-83.05662432702593,-85.0,-85.0,-85.0
20220926_1,-65.0,-82.0,-73.27941176470588,-77.330745019494,-81.38207827428211,-83.40774490167617,-68.69999999999999,-67.0,-67.0,-84.0,-111.0,-90.86764705882354,-86.25454303773381,-81.64143901664409,-79.33488700609922,-97.0,-100.0,-100.0
20220926_2,-82.0,-92.0,-85.9375,-89.04595620847391,-92.15441241694782,-93.70864052118478,-83.0,-82.75,-82.75,-97.0,-108.0,-103.0,-99.1184195658641,-95.2368391317282,-93.29604891466025,-108.0,-108.0,-108.0
20220927_0,-69.0,-80.0,-76.13793103448276,-79.012997964524,-81.88806489456523,-83.32559835958585,-71.0,-70.4,-70.4,-88.0,-122.0,-103.27586206896552,-92.75073379786342,-82.22560552676131,-76.96304139121027,-117.2,-119.8,-119.8
20220927_1,-51.0,-81.0,-70.73469387755102,-78.09385911045415,-85.45302434335727,-89.13260695980883,-58.8,-56.400000000000006,-56.400000000000006,-87.0,-101.0,-92.73469387755102,-89.08449119936496,-85.43428852117889,-83.60918718208586,-97.2,-99.0,-99.0
20220927_2,-52.0,-77.0,-69.48571428571428,-76.71055472185756,-83.93539515800086,-87.54781537607249,-60.4,-56.500000000000014,-56.500000000000014,-89.0,-102.0,-94.22857142857144,-90.37778301208172,-86.52699459559199,-84.60160038734712,-101.0,-101.0,-101.0
20220928_0,-57.0,-80.0,-72.5945945945946,-77.6026961392002,-82.61079768380581,-85.11484845610862,-67.0,-64.40000000000003,-64.40000000000003,-89.0,-123.0,-100.13513513513512,-89.3334836097583,-78.53183208438146,-73.13100632169305,-121.0,-122.2,-122.2
20220928_1,-49.0,-79.0,-65.47857142857143,-72.75172879579416,-80.0248861630169,-83.66146484662828,-56.79999999999998,-53.0,-53.0,-75.0,-105.0,-87.85,-82.36237494201923,-76.87474988403847,-74.13093735504808,-94.0,-95.0,-95.0
20220928_2,-61.0,-75.0,-69.97777777777777,-73.83010227610396,-77.68242677443013,-79.60858902359323,-64.0,-62.400000000000006,-62.400000000000006,-83.0,-100.0,-89.08888888888889,-85.34831150138317,-81.60773411387743,-79.73744542012456,-92.0,-97.2,-97.2
20220929_0,-44.0,-76.0,-63.33928571428572,-71.06610057900636,-78.79291544372701,-82.65632287608733,-50.19999999999999,-47.0,-47.0,-82.0,-122.0,-95.19642857142856,-86.32107623916147,-77.44572390689437,-73.00804774076082,-107.0,-112.45,-112.45
20220929_1,-59.0,-76.0,-71.06,-75.07736028673922,-79.09472057347844,-81.10340071684804,-64.9,-64.0,-64.0,-85.0,-106.0,-89.18,-84.65483228408682,-80.12966456817365,-77.86708071021705,-94.1,-95.55,-95.55
20220929_2,-68.0,-79.0,-74.3,-78.62177946889679,-82.94355893779357,-85.10444867224196,-68.0,-68.0,-68.0,-86.0,-90.0,-89.5,-88.23070448235602,-86.96140896471204,-86.32676120589004,-90.0,-90.0,-90.0
20220930_0,-19.0,-97.0,-68.16129032258064,-78.16160760998494,-88.16192489738924,-93.1620835410914,-60.0,-49.35000000000003,-49.35000000000003,-85.0,-117.0,-95.6774193548387,-87.39199032462541,-79.10656129441212,-74.96384677930547,-109.7,-111.0,-111.0
20220930_1,-63.0,-79.0,-74.02941176470588,-77.8616029396153,-81.6937941145247,-83.6098897019794,-69.0,-66.35,-66.35,-83.0,-108.0,-87.33823529411765,-83.77385808357522,-80.20948087303279,-78.42729226776157,-90.3,-92.65,-92.65
20220930_2,-70.0,-79.0,-75.57894736842105,-77.69237393090032,-79.80580049337956,-80.8625137746192,-73.69999999999999,-72.7,-72.7,-83.0,-92.0,-87.47368421052632,-85.42380824716918,-83.37393228381204,-82.34899430213346,-91.0,-91.0,-91.0
20221010_1,-39.0,-82.0,-71.82417582417582,-79.17051793224174,-86.51686004030765,-90.1900310943406,-63.0,-59.5,-59.5,-85.0,-118.0,-92.89010989010988,-85.72468278885866,-78.55925568760743,-74.97654213698182,-100.0,-112.5,-112.5
20221010_2,-62.0,-81.0,-74.91752577319588,-78.00537191807308,-81.09321806295029,-82.63714113538889,-71.0,-69.80000000000001,-69.80000000000001,-85.0,-99.0,-90.84536082474229,-87.62970833073747,-84.41405583673267,-82.80622958973026,-95.0,-96.2,-96.2
20221011_0,-54.0,-84.0,-76.76190476190476,-85.0309048582423,-93.29990495457984,-97.4344050027486,-57.49999999999999,-56.0,-56.0,-88.0,-118.0,-93.97619047619048,-86.90857181744478,-79.84095315869908,-76.30714382932624,-103.0,-112.25,-112.25
20221011_1,-74.0,-92.0,-83.81904761904762,-86.95009853742629,-90.08114945580496,-91.64667491499428,-81.0,-79.2,-79.2,-89.0,-109.0,-92.83809523809524,-88.77578297137066,-84.71347070464608,-82.6823145712838,-98.0,-103.0,-102.99999999999996
20221011_2,-74.0,-84.0,-80.43636363636364,-82.3967456509459,-84.35712766552818,-85.33731867281931,-78.0,-77.4,-77.4,-91.0,-103.0,-94.85454545454546,-92.23398443305788,-89.61342341157028,-88.30314290082649,-98.0,-100.0,-100.0
20221012_0,-73.0,-95.0,-83.6298076923077,-87.02950588316612,-90.42920407402454,-92.12905316945375,-79.0,-78.0,-78.0,-86.0,-106.0,-93.76923076923076,-90.59557480819016,-87.42191884714953,-85.83509086662922,-98.0,-99.65,-99.65
20221012_1,-70.0,-84.0,-77.99539170506912,-80.63676076621017,-83.27812982735121,-84.59881435792173,-74.0,-73.0,-73.0,-83.0,-110.0,-91.10599078341014,-87.40503857111497,-83.70408635881982,-81.85361025267224,-97.0,-98.0,-98.0
20221012_2,-80.0,-87.0,-83.6923076923077,-86.4727337802966,-89.25315986828548,-90.64337291227991,-81.0,-80.6,-80.6,-88.0,-96.0,-92.15384615384616,-88.96934844760965,-85.78485074137312,-84.19260188825487,-95.0,-95.4,-95.4
20221013_0,-66.0,-100.0,-91.23577235772358,-96.32771284956527,-101.419653341407,-103.96562358732788,-85.0,-81.5,-81.5,-94.0,-114.0,-101.46341463414636,-97.86116435575188,-94.2589140773574,-92.45778893816014,-106.0,-108.0,-108.0
20221013_1,-83.0,-96.0,-90.15789473684212,-92.82148945866172,-95.48508418048132,-96.81688154139113,-87.0,-84.75,-84.75,-90.0,-109.0,-101.36842105263158,-97.44977466979934,-93.53112828696707,-91.57180509555096,-105.0,-106.0,-106.0
20221013_2,-64.0,-91.0,-84.6774193548387,-89.51744068243768,-94.35746201003664,-96.77747267383612,-81.0,-79.0,-79.0,-93.0,-105.0,-96.48387096774194,-93.05001047997276,-89.61614999220359,-87.899219748319,-102.0,-103.5,-103.5
20221014_0,-4.0,-102.0,-93.66442953020136,-103.11745045321923,-112.57047137623712,-117.29698183774607,-87.0,-80.80000000000001,-80.80000000000001,-101.0,-115.0,-107.53020134228188,-105.06269070543122,-102.59518006858056,-101.36142475015522,-111.0,-111.0,-111.0
20221014_1,-68.0,-98.0,-88.07627118644068,-93.66648971902674,-99.2567082516128,-102.05181751790585,-83.0,-79.0,-79.0,-94.0,-125.0,-104.32203389830508,-97.42364890716256,-90.52526391602002,-87.07607142044877,-114.0,-117.0,-117.0
20221014_2,-72.0,-89.0,-84.80357142857143,-87.35072415524233,-89.89787688191323,-91.1714532452487,-83.0,-81.75,-81.75,-92.0,-124.0,-100.58928571428572,-96.41674872402848,-92.24421173377124,-90.15794323864262,-102.5,-106.25,-106.25
20221017_0,-66.0,-93.0,-88.2089552238806,-93.82963488038078,-99.45031453688097,-102.26065436513105,-86.2,-72.40000000000003,-72.40000000000003,-98.0,-127.0,-103.7910447761194,-99.65862559531944,-95.52620641451946,-93.45999682411949,-108.0,-109.7,-109.7
20221017_1,-70.0,-97.0,-87.23118279569893,-92.43256470136278,-97.63394660702662,-100.23463755985854,-79.5,-74.0,-74.0,-95.0,-124.0,-103.5537634408602,-98.8380838070638,-94.1224041732674,-91.7645643563692,-108.0,-113.0,-113.0
20221017_2,-4.0,-89.0,-82.07936507936508,-99.66904459312612,-117.25872410688716,-126.0535638637677,-84.0,-71.0,-71.0,-96.0,-138.0,-103.87301587301587,-97.0895158165647,-90.30601576011354,-86.91426573188795,-109.8,-116.6,-116.6
20221018_0,-58.0,-85.0,-78.30508474576271,-81.43341811208997,-84.56175147841722,-86.12591816158084,-75.0,-74.85000000000001,-74.85000000000001,-85.0,-116.0,-94.19491525423727,-87.67045964990311,-81.14600404556893,-77.88377624340184,-104.0,-107.0,-107.0
