date,max(buy),min(buy),mean(buy),mean-std(buy),mean-2std(buy),mean-2.5std(buy),price_quantile_90(buy),price_quantile_95(buy),price_quantile_N(buy),max(sell),min(sell),mean(sell),mean+std(sell),mean+2std(sell),mean+2.5std(sell),price_quantile_90(sell),price_quantile_95(sell),price_quantile_N(sell)
20220908_1,56.0,12.0,28.10457516339869,23.123217578649346,18.1418599939,15.651181201525324,34.0,36.0,36.0,-2.0,-28.0,-7.205882352941177,-3.9648658569608473,-0.7238493609805179,0.8966588870096475,-12.0,-12.9,-12.899999999999949
20220908_2,42.0,22.0,33.68681318681319,30.01715624061975,26.34749929442632,24.5126708213296,38.0,40.0,40.0,4.0,-20.0,-9.87912087912088,-5.008711740718778,-0.138302602316676,2.296901966884376,-16.0,-16.0,-16.0
20220909_1,6844.0,6.0,40.7571679344646,-290.07855637317215,-620.9142806808088,-786.3321428346271,34.40000000000009,38.0,38.0,18.0,-454.0,-7.67817437097718,21.83047751696192,51.33912940490101,66.09345534887056,-10.0,-16.0,-16.0
20220909_2,56.0,4.0,22.422343324250683,13.22946738498312,4.036591445715558,-0.5598465239182246,34.0,38.0,38.0,12.0,-20.0,-5.991825613079019,-1.2738661156395246,3.44409338179997,5.803073130519717,-12.0,-14.0,-14.0
20220913_1,428.0,14.0,44.36725663716814,0.9051382742729004,-42.55698008862234,-64.28803927006996,74.0,80.89999999999998,80.89999999999998,8.0,-42.0,-7.5,2.651294522759395,12.80258904551879,17.878236306898486,-21.8,-28.0,-28.0
20220913_2,70.0,20.0,32.03319502074689,26.33241494260772,20.63163486446855,17.781244825398964,38.0,40.0,40.0,22.0,-18.0,-0.2323651452282157,5.776998226442704,11.786361598113626,14.791043283949088,-10.0,-12.0,-12.0
20220914_1,7072.0,14.0,56.243862520458265,-146.89937240898612,-350.0426073384305,-451.6142248031527,82.0,104.0,104.0,16.0,-238.0,-2.451718494271686,10.319777056385654,23.091272607042995,29.477020382371663,-10.0,-12.0,-12.0
20220914_2,56.0,28.0,37.136986301369866,32.785377779416855,28.433769257463847,26.257964996487345,42.0,42.89999999999998,42.89999999999998,18.0,-10.0,7.061643835616438,12.741199748196198,18.42075566077596,21.260533617065835,0.0,-8.0,-8.0
20220915_1,7182.0,14.0,51.50347222222222,-248.84731600948675,-549.1981042411958,-699.3734983570503,48.0,54.0,54.0,20.0,-156.0,0.1006944444444444,10.865873025913332,21.63105160738222,27.013640898116662,-10.0,-10.0,-10.0
20220915_2,74.0,16.0,27.150602409638555,18.27202064578028,9.393438881921996,4.954147999992856,36.0,40.0,40.0,4.0,-36.0,-3.9397590361445785,3.088624330706483,10.117007697557543,13.631199380983071,-12.0,-18.0,-18.0
20220916_1,92.0,24.0,47.944954128440365,35.50708270284152,23.06921127724268,16.85027556444326,66.0,68.0,68.0,4.0,-130.0,-16.128440366972477,2.0257862184646704,20.180012803901818,29.25712609662039,-36.0,-42.0,-42.0
20220916_2,70.0,36.0,47.130434782608695,39.91443090949451,32.69842703638033,29.090425099823243,58.0,60.0,60.0,12.0,-22.0,-1.2173913043478262,3.734744625004345,8.686880554356517,11.162948519032602,-8.0,-10.0,-10.0
20220919_1,102.0,32.0,49.10151187904968,41.00974532155666,32.91797876406365,28.872095485317136,58.0,60.0,60.0,16.0,-60.0,-12.600431965442764,-0.6672594671668701,11.265913031109024,17.23249928024697,-28.0,-32.0,-32.0
20220919_2,72.0,42.0,53.12751677852349,48.0188914459712,42.9102661134189,40.35595344714275,60.0,62.0,62.0,14.0,-26.0,-1.9910514541387023,2.721293797526241,7.433639049191184,9.789811675023657,-8.0,-8.0,-8.0
20220920_1,762.0,42.0,65.29139072847683,19.102192105368225,-27.087006517740377,-50.18160582929468,110.0,157.5,157.5,24.0,-54.0,-4.121412803532009,4.187980442868564,12.497373689269136,16.652070312469423,-10.0,-17.5,-17.499999999999915
20220920_2,88.0,42.0,56.098765432098766,45.38018119691514,34.661596961731505,29.30230484413969,74.0,76.0,76.0,36.0,-18.0,4.2407407407407405,15.303357653029463,26.365974565318187,31.89728302146255,-6.0,-6.0,-6.0
20220921_1,102.0,52.0,70.56596558317399,62.599504013724825,54.63304244427566,50.64981165955108,80.0,86.0,86.0,34.0,-78.0,-2.638623326959847,9.448441083826165,21.53550549461217,27.57903770000518,-10.0,-13.799999999999995,-13.799999999999956
20220921_2,96.0,56.0,76.8786610878661,68.30974099971655,59.740820911567,55.45636086749222,88.0,92.0,92.0,22.0,-30.0,-0.9456066945606696,7.521406134532136,15.98841896362494,20.221925378171345,-12.0,-16.2,-16.199999999999978
20220922_1,7220.0,54.0,98.0522696011004,-278.1236351478781,-654.2995398968566,-842.3874922713459,88.0,92.0,92.0,42.0,-56.0,2.778541953232462,15.818602354995942,28.858662756759426,35.378692957641164,-10.0,-12.0,-12.0
20220922_2,124.0,62.0,78.8122270742358,68.67005228319269,58.52787749214957,53.456790096628005,90.40000000000003,99.2,99.2,40.0,-14.0,0.1659388646288209,7.415165781409873,14.664392698190923,18.28900615658145,-8.0,-12.0,-12.0
20220923_1,512.0,52.0,80.10688836104514,49.55177101138525,18.99665366172536,3.7190949868954135,86.0,88.0,88.0,7294.0,-686.0,23.593824228028502,379.53915177761394,735.4844793271994,913.4571431019922,-4.0,-6.0,-6.0
20220923_2,88.0,68.0,81.56164383561644,76.76295680057508,71.96426976553373,69.56492624801305,86.0,88.0,88.0,16.0,-10.0,4.164383561643835,10.7112524032058,17.258121244767768,20.531555665548748,-4.0,-6.0,-6.0
20220926_1,108.0,46.0,80.53233830845771,69.64836061801282,58.76438292756792,53.32239408234547,100.0,104.0,104.0,14.0,-30.0,0.4552238805970149,6.619980100629578,12.78473632066214,15.867114430678424,-8.0,-10.0,-10.0
20220926_2,96.0,56.0,81.85522788203754,72.64615943393697,63.437090985836406,58.83255676178612,94.0,94.0,94.0,14.0,-30.0,-3.227882037533512,2.4596893083051,8.147260654143713,10.99104632706302,-9.599999999999994,-10.799999999999995,-10.799999999999969
20220927_1,880.0,56.0,88.33498513379584,56.98008540300821,25.62518567222056,9.947735806826742,96.0,129.19999999999982,129.19999999999982,24.0,-570.0,-9.98810703666997,12.36085376452371,34.709814565717394,45.88429496631423,-24.0,-32.0,-32.0
20220927_2,106.0,72.0,89.37566137566138,80.32899511466142,71.28232885366147,66.75899572316149,100.0,102.0,102.0,4.0,-38.0,-5.523809523809524,2.184000434051696,9.891810391912916,13.745715370843524,-16.0,-24.0,-24.0
20220928_1,738.0,46.0,99.46284501061572,45.6602361316383,-8.14237274733911,-35.04367718682782,134.0,163.89999999999986,163.89999999999986,7286.0,-736.0,6.2399150743099785,344.8121089670715,683.384302859833,852.6703998062138,-21.799999999999983,-28.0,-28.0
20220928_2,86.0,40.0,79.12933753943217,73.83016857991043,68.53099962038871,65.88141514062785,84.0,84.0,84.0,2.0,-52.0,-7.823343848580442,-0.27233620409074,7.278671440398962,11.054175262643811,-14.0,-20.0,-20.0
20220929_1,144.0,62.0,79.67628865979381,68.29644323111711,56.91659780244042,51.22667508810207,82.0,88.0,88.0,12.0,-746.0,-6.414432989690722,51.43150129661199,109.2774355829147,138.20040272606607,-10.0,-20.0,-20.0
20220929_2,84.0,64.0,74.35564853556485,70.70200105189679,67.04835356822873,65.2215298263947,78.0,80.0,80.0,12.0,-10.0,0.6569037656903766,4.607789932659302,8.558676099628228,10.534119183112692,-4.0,-4.299999999999997,-4.2999999999999545
20220930_1,746.0,52.0,76.78772378516624,15.920214153647215,-44.947295477871805,-75.38105029363132,88.0,101.89999999999986,101.89999999999986,8.0,-726.0,-7.29923273657289,29.81277165673872,66.92477605005033,85.48077824670614,-16.0,-19.89999999999999,-19.89999999999993
20220930_2,80.0,58.0,71.50798722044729,67.13725485796482,62.76652249548236,60.58115631424113,76.0,78.0,78.0,8.0,-18.0,-2.830670926517572,2.620753716468744,8.07217835945506,10.79789068094822,-10.0,-12.0,-12.0
20221010_1,162.0,58.0,79.66307277628033,63.547775972153005,47.43247916802569,39.37483076596202,96.0,112.0,112.0,16.0,-248.0,-3.315363881401617,18.3204452938138,39.95625446902922,50.774159056636925,-20.0,-28.0,-28.0
20221010_2,76.0,60.0,67.44954128440367,64.08786070159684,60.726180118790026,59.04533982738661,72.0,72.0,72.0,12.0,-20.0,-2.63302752293578,2.8675021075027964,8.368031737941372,11.11829655316066,-8.0,-12.0,-12.0
20221011_1,766.0,54.0,72.35370611183355,28.278962069256167,-15.795781973321212,-37.8331539946099,78.0,84.0,84.0,16.0,-756.0,-5.877763328998699,41.8034768367184,89.48471700243549,113.32533708529404,-12.0,-20.0,-20.0
20221011_2,90.0,60.0,69.58490566037736,65.55928652998662,61.533667399595885,59.52085783440052,74.0,76.0,76.0,14.0,-30.0,-0.4743935309973046,7.29326407595017,15.060921682897646,18.944750486371383,-12.0,-16.0,-16.0
20221012_1,630.0,52.0,66.49904761904762,47.88730283526451,29.2755580514814,19.96968565958984,70.0,80.0,80.0,12.0,-830.0,-2.611428571428571,27.45572637123564,57.52288131389986,72.55645878523195,-8.0,-12.0,-12.0
20221012_2,84.0,54.0,62.78832116788321,59.43855454273735,56.088787917591496,54.413904605018566,66.0,66.0,66.0,14.0,-52.0,0.7007299270072993,7.037265446732278,13.373800966457257,16.542068726319748,-4.0,-6.0,-6.0
