date,max(buy),min(buy),mean(buy),mean-std(buy),mean-2std(buy),mean-2.5std(buy),price_quantile_90(buy),price_quantile_95(buy),price_quantile_N(buy),max(sell),min(sell),mean(sell),mean+std(sell),mean+2std(sell),mean+2.5std(sell),price_quantile_90(sell),price_quantile_95(sell),price_quantile_N(sell)
20220908_1,615.0,226.0,286.1678832116788,214.33847241745696,142.50906162323506,106.59435622612412,301.0,307.2,307.2,-38.0,-120.0,-61.737226277372265,-46.94291592776553,-32.1486055781588,-24.751450403355435,-73.0,-98.8,-98.79999999999998
20220908_2,940.0,202.0,381.4318181818182,139.821901953935,-101.7880142739482,-222.5929723878898,869.6,905.3,905.3,-52.0,-608.0,-177.1931818181818,25.542241596181213,228.27766501054424,329.6453767177257,-580.6,-594.0,-594.0
20220909_0,602.0,264.0,307.69565217391306,258.235513536727,208.775374899541,184.045305580948,326.0,343.0,343.0,-77.0,-610.0,-113.17391304347828,-35.10975016082095,42.95441272183636,81.98649416316503,-144.0,-157.0,-157.0
20220909_1,662.0,215.0,268.3636363636364,231.24433448358903,194.1250326035417,175.56538166351805,293.0,299.6,299.6,-41.0,-571.0,-81.75151515151515,-34.423468748258074,12.904577654999002,36.56860085662754,-105.4,-151.6,-151.6
20220909_2,544.0,217.0,272.7281553398058,192.2762217939317,111.82428824805756,71.59832147512051,282.0,540.9,540.9,-25.0,-574.0,-99.71844660194176,38.24804673552696,176.21454007299565,245.19778674173,-102.6,-566.9,-566.9
20220913_1,693.0,227.0,346.4,245.76248824652995,145.12497649305985,94.80622061632482,382.0,671.0,671.0,-53.0,-555.0,-122.27826086956522,-16.0718623586083,90.13453615234862,143.23773540782707,-179.8,-302.29999999999995,-302.2999999999984
20220913_2,651.0,278.0,331.2875,253.564005393002,175.840510786004,136.97876348250497,349.0,386.5999999999992,386.5999999999992,-58.0,-543.0,-107.4625,-7.279383639020907,92.9037327219582,142.99529090244775,-107.0,-135.94999999999993,-135.94999999999845
20220914_0,658.0,262.0,311.0208333333333,247.3659261565972,183.71101897986105,151.883565391493,350.70000000000005,414.45,414.45,-53.0,-576.0,-86.703125,-9.637365423624132,67.42839415275174,105.96127394093966,-112.0,-115.9,-115.89999999999998
20220914_1,700.0,237.0,293.48275862068965,241.94269348944144,190.40262835819323,164.63259579256913,320.70000000000005,409.4,409.4,-1.0,-518.0,-47.72988505747127,-4.578162903631252,38.57355925020876,60.149420327128766,-82.0,-104.0,-104.0
20220914_2,636.0,239.0,327.5220588235294,286.97542962413047,246.4288004247315,226.15548582503203,358.0,363.0,363.0,-24.0,-144.0,-57.91176470588236,-39.768927903631294,-21.62609110138024,-12.554672700254711,-76.5,-84.0,-84.0
20220915_0,676.0,283.0,340.55080213903744,275.37914017199336,210.20747820494927,177.62164722142722,383.8,413.7,413.7,-57.0,-533.0,-85.65775401069519,-11.202091507435227,63.25357099582473,100.48140224745472,-86.4,-96.0,-96.0
20220915_1,733.0,222.0,309.65895953757223,222.7753539369357,135.8917483362993,92.44994553598104,332.6,348.40000000000003,348.40000000000003,-23.0,-596.0,-90.41040462427746,6.899573032587256,104.20955068945196,152.86453951788434,-101.0,-122.4,-122.39999999999974
20220915_2,291.0,187.0,266.48,245.69711850427603,224.91423700855205,214.5227962606901,291.0,291.0,291.0,-39.0,-505.0,-101.1,20.61801637475071,142.3360327495014,203.1950409368768,-121.0,-502.0,-502.0
20220916_0,661.0,233.0,273.3626373626374,219.91198030430724,166.46132324597707,139.735994716812,331.5000000000001,374.3999999999997,374.3999999999997,-34.0,-571.0,-93.3846153846154,22.7545437839988,138.89370295261298,196.9632825369201,-124.8,-532.8999999999997,-532.899999999997
20220916_1,560.0,299.0,371.3137254901961,300.34232556147026,229.3709256327445,193.8852256683816,514.0,537.0,537.0,-66.0,-569.0,-171.4313725490196,1.74417478973848,174.91972212849657,261.5074957978756,-560.0,-562.5,-562.5
20220916_2,748.0,157.0,214.28140703517587,128.71418963879358,43.146972242411294,0.3633635442201637,327.6,335.0,335.0,-38.0,-115.0,-53.82914572864322,-38.7609185778284,-23.69269142701357,-16.158577851606168,-74.2,-83.1,-83.1
20220919_0,472.0,289.0,318.5177304964539,290.44954748312534,262.3813644697968,248.3472729631325,341.0,345.0,345.0,-43.0,-243.0,-83.49645390070921,-51.0243506837114,-18.55224746671358,-2.3161958582146696,-114.0,-146.0,-145.99999999999997
20220919_1,749.0,169.0,267.0483870967742,167.70699045464778,68.36559381252138,18.69489549145817,315.7,325.85,325.85,-12.0,-527.0,-90.94354838709675,-8.06394107847234,74.81566623015209,116.2554698844643,-120.0,-158.0,-158.0
20220919_2,353.0,179.0,290.75971731448766,253.67128261346144,216.58284791243523,198.0386305619221,320.0,329.5999999999999,329.5999999999999,-27.0,-106.0,-57.01766784452297,-41.49019143591818,-25.962715027313404,-18.198976823011016,-76.0,-80.0,-80.0
20220920_0,566.0,260.0,338.0827067669173,318.56085829552234,299.0390098241274,289.2780855884299,349.5,353.0,353.0,-51.0,-630.0,-84.85714285714286,4.98268466475534,94.82251218665354,139.74242594760264,-94.5,-111.0,-111.0
