pairs_id,indate_date,first_instrument,second_instrument,prime_instrument,boundary_unit_num,region_drift,region_0,region_1,region_2,region_3,region_4,region_5,region_6,region_7,up_boundary_5,up_boundary_4,up_boundary_3,up_boundary_2,up_boundary_1,down_boundary_1,down_boundary_2,down_boundary_3,down_boundary_4,down_boundary_5,today_fee,wait_window,favor_times,unfavor_times,abs_threshold,boundary_tick_lock,wait2_windows,after_tick,night_type,if_add,limitcoef,abs_threshold_after,kind,before_tick,before_cancel_flag,before_cancel_num,max_position,min_position,region_tick_lock,region_unit_num,If_SP,SP_InstrumentID
A2307-2309,20221017_0,A2307.XDCE,A2309.XDCE,A2307.XDCE,0,0,20,-99999,-99999,-99999,-99999,-99999,-99999,-99999,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,1,0,5,32,A,0,1,1,12,0,15,3,0,Null
A2307-2311,20221017_0,A2307.XDCE,A2311.XDCE,A2307.XDCE,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,1,0,5,32,A,0,1,1,12,0,54,1,0,Null
A2309-2307,20221017_0,A2309.XDCE,A2307.XDCE,A2307.XDCE,0,0,-237,-99999,-99999,-99999,-99999,-99999,-99999,-99999,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,1,0,5,32,A,0,1,1,12,0,20,3,0,Null
A2309-2311,20221017_0,A2309.XDCE,A2311.XDCE,A2309.XDCE,0,0,20,5,0,-10,-99999,-99999,-99999,-99999,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,1,s,5,32,A,0,1,1,12,0,15,3,0,Null
A2311-2401,20221017_0,A2311.XDCE,A2401.XDCE,A2311.XDCE,0,0,0,-10,-20,-99999,-99999,-99999,-99999,-99999,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,1,0,5,32,A,0,1,1,12,0,13,3,0,Null
A2401-2403,20221017_0,A2401.XDCE,A2403.XDCE,A2401.XDCE,0,0,5,0,-10,-99999,-99999,-99999,-99999,-99999,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,1,0,5,32,A,0,1,1,12,0,15,3,0,Null
AG2306-2307,20221017_0,AG2306.XSGE,AG2307.XSGE,AG2306.XSGE,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,10,2,0,5,32,AG,0,1,1,14,0,12,1,0,Null
AG2307-2308,20221017_0,AG2307.XSGE,AG2308.XSGE,AG2308.XSGE,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,10,2,0,5,32,AG,0,1,1,14,0,6,1,0,Null
AG2308-2309,20221017_0,AG2308.XSGE,AG2309.XSGE,AG2308.XSGE,0,0,-13,-15,-17,-99999,-99999,-99999,-99999,-99999,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,10,2,1,5,32,AG,0,1,1,14,0,15,1,0,Null
AG2308-2311,20221017_0,AG2308.XSGE,AG23011.XSGE,AG2308.XSGE,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,10,2,0,5,32,AG,0,1,1,14,0,30,1,0,Null
